,0,1,2,3,4,5,6,7,8,9,10
43,0.0348,0.0348,0.1632,0.0492,0.0126,0.0426,0.0391,0.0535,0.0668,0.0582,0.0378
44,0.0276,0.0271,0.0523,0.0448,0.0099,0.0345,0.0318,0.0382,0.0592,0.0484,0.031
45,0.0231,0.0243,0.0491,0.043,0.0087,0.0321,0.029,0.0339,0.0529,0.0474,0.0275
46,0.0107,0.0208,0.0412,0.0397,0.0092,0.0276,0.025,0.0323,0.0499,0.0493,0.0241
47,0.0042,0.0133,0.0324,0.0246,0.0054,0.0215,0.0186,0.0245,0.0392,0.0368,0.0175
48,0.0037,0.0087,0.0261,0.0179,0.0029,0.0156,0.0135,0.0169,0.0283,0.0279,0.0104
49,0.004,0.0059,0.0209,0.0103,0.0019,0.0122,0.01,0.0116,0.0191,0.0203,0.0062
50,0.0037,0.005,0.0184,0.0065,0.0011,0.0092,0.0084,0.0066,0.0088,0.0208,0.003
51,0.0037,0.0053,0.0179,0.0058,0.0,0.0083,0.0454,0.0,0.0,0.0235,0.0
52,0.0037,0.009,0.0215,0.0097,0.0,0.008,0.0255,0.0,0.0,0.022,0.0
53,0.0037,0.0155,0.0292,0.017,0.0,0.0092,0.0108,0.0,0.0,0.0192,0.0
54,0.0037,0.0208,0.0388,0.0232,0.0,0.013,0.0146,0.0,0.0,0.0219,0.0
55,0.0037,0.0271,0.044,0.0281,0.0,0.0174,0.0215,0.0,0.0,0.0329,0.0
56,0.0037,0.0369,0.0534,0.0352,0.0,0.0238,0.0305,0.0,0.0,0.0416,0.0
57,0.0037,0.0395,0.0633,0.0448,0.0,0.0321,0.0415,0.0,0.0,0.0488,0.0
58,0.0037,0.0401,0.0776,0.0574,0.0,0.041,0.049,0.0,0.0,0.0606,0.0
59,0.0037,0.0444,0.0961,0.0622,0.0,0.0469,0.0586,0.0,0.0,0.0642,0.0
60,0.0037,0.0454,0.1041,0.0638,0.0,0.0521,0.0578,0.0,0.0,0.0724,0.0
61,0.0037,0.0459,0.0728,0.0601,0.0,0.0531,0.0576,0.0,0.0,0.0731,0.0
62,0.0037,0.046,0.1372,0.0592,0.0,0.056,0.0568,0.0,0.0,0.0719,0.0
63,0.0037,0.0474,0.154,0.0559,0.0,0.0575,0.0578,0.0,0.0,0.0672,0.0
64,0.0037,0.0457,0.1444,0.0582,0.0,0.0568,0.0556,0.0,0.0,0.0679,0.0
65,0.0037,0.046,0.1537,0.0544,0.0,0.0562,0.0587,0.0,0.0,0.0695,0.0
66,0.0037,0.0398,0.1599,0.0537,0.0,0.0481,0.0474,0.0,0.0,0.0625,0.0
67,0.0037,0.0335,0.0985,0.0462,0.0,0.0385,0.0377,0.0,0.0,0.0523,0.0
68,0.0037,0.0295,0.0571,0.0426,0.0,0.0341,0.0302,0.0,0.0,0.0457,0.0
69,0.0037,0.0263,0.055,0.0437,0.0,0.0324,0.0305,0.0,0.0,0.0452,0.0
70,0.0037,0.0226,0.0452,0.0418,0.0,0.0293,0.0299,0.0,0.0,0.045,0.0
71,0.0037,0.0157,0.0365,0.0297,0.0,0.0239,0.0217,0.0,0.0,0.0378,0.0
72,0.003,0.0091,0.0262,0.0172,0.0159,0.0159,0.0155,0.025,0.0334,0.0274,0.012
73,0.0021,0.0066,0.0189,0.0112,0.0144,0.0129,0.0105,0.0188,0.0217,0.0215,0.0081
74,0.0016,0.0037,0.016,0.0054,0.0139,0.0095,0.0201,0.0202,0.0183,0.0219,0.006
75,0.001,0.0039,0.0162,0.0049,0.0131,0.0087,0.0255,0.0148,0.0122,0.0231,0.0044
76,0.001,0.0069,0.0187,0.0086,0.016,0.0082,0.0299,0.0129,0.009,0.0262,0.0045
77,0.0015,0.0123,0.0237,0.0136,0.0179,0.009,0.0081,0.0129,0.0095,0.0234,0.0071
78,0.0032,0.0143,0.0314,0.018,0.0182,0.0119,0.0125,0.0157,0.0139,0.0193,0.0119
79,0.0068,0.0162,0.036,0.0222,0.0187,0.0145,0.0152,0.0187,0.0205,0.0275,0.0146
80,0.0234,0.0236,0.0482,0.0265,0.0265,0.0214,0.0223,0.0233,0.0294,0.0339,0.0243
81,0.0367,0.0329,0.061,0.0354,0.0338,0.0273,0.0333,0.0323,0.0399,0.0423,0.0366
82,0.0477,0.035,0.0748,0.049,0.0295,0.0368,0.0425,0.0444,0.0525,0.0551,0.0448
83,0.0555,0.0317,0.0774,0.0416,0.0221,0.0356,0.0488,0.0427,0.0593,0.0567,0.0443
84,0.0517,0.0,0.069,0.0,0.0133,0.0115,0.0517,0.024,0.0651,0.0678,0.0429
85,0.0536,0.0,0.094,0.0,0.0132,0.0118,0.0518,0.0286,0.0699,0.07,0.0466
86,0.055,0.0,0.1203,0.0,0.0107,0.008,0.0465,0.0114,0.0764,0.0597,0.0435
87,0.0525,0.0,0.1294,0.0,0.0102,0.0068,0.0471,0.0068,0.0724,0.0589,0.0402
88,0.0527,0.0,0.1572,0.0,0.0102,0.0068,0.0486,0.0068,0.0737,0.0555,0.0416
89,0.0505,0.0,0.1441,0.0,0.0102,0.0068,0.0433,0.0068,0.0816,0.0519,0.0449
90,0.0395,0.0,0.1264,0.0,0.0102,0.0068,0.0386,0.0068,0.0761,0.0496,0.0396
91,0.0313,0.0,0.052,0.0,0.0102,0.0068,0.0327,0.0068,0.0602,0.041,0.033
92,0.0266,0.0,0.0457,0.0,0.0102,0.0068,0.0282,0.0068,0.0549,0.0396,0.0288
93,0.0198,0.0,0.0366,0.0,0.0102,0.0068,0.0256,0.0068,0.0486,0.039,0.0252
94,0.0071,0.0,0.0285,0.0,0.0102,0.0068,0.0211,0.0068,0.0396,0.0346,0.0213
95,0.003,0.0,0.0172,0.0,0.0102,0.0068,0.0148,0.0068,0.0301,0.0285,0.0126
96,0.0018,0.008,0.0125,0.0181,0.0022,0.0031,0.0108,0.0148,0.0192,0.0201,0.0074
97,0.0011,0.0076,0.0112,0.0135,0.0013,0.0019,0.0083,0.0083,0.012,0.0215,0.0047
98,0.0009,0.0075,0.0119,0.0099,0.0017,0.0016,0.0076,0.0065,0.0096,0.0247,0.0036
99,0.0011,0.0082,0.0145,0.0096,0.0029,0.0018,0.0077,0.0046,0.0085,0.0259,0.0047
100,0.0075,0.0106,0.0297,0.0161,0.0077,0.0035,0.0123,0.0055,0.0115,0.0214,0.0113
101,0.0429,0.0419,0.0854,0.0397,0.0324,0.0096,0.0224,0.0111,0.0179,0.0219,0.0275
102,0.077,0.2373,0.1247,0.0681,0.0681,0.0186,0.0426,0.0242,0.0315,0.0376,0.0436
103,0.2499,0.0911,0.1488,0.1311,0.1067,0.0259,0.079,0.0433,0.0463,0.0531,0.0709
104,0.2248,0.1167,0.1686,0.1357,0.1079,0.0261,0.0836,0.0524,0.0536,0.0527,0.1227
105,0.0683,0.0741,0.1092,0.0637,0.0801,0.0428,0.0613,0.0454,0.0561,0.0512,0.0571
106,0.0552,0.0519,0.1285,0.0615,0.0377,0.0439,0.0534,0.0502,0.0597,0.0583,0.0438
107,0.0576,0.0485,0.0847,0.0661,0.0254,0.0459,0.0545,0.055,0.0689,0.0693,0.0425
108,0.0571,0.0447,0.085,0.0597,0.0215,0.0359,0.0579,0.0619,0.073,0.0782,0.0448
109,0.0545,0.0495,0.0843,0.0607,0.0221,0.0225,0.0587,0.0633,0.0729,0.0794,0.0455
110,0.056,0.0416,0.0818,0.0566,0.0197,0.0529,0.071,0.0833,0.0937,0.1429,0.0489
111,0.0554,0.0414,0.0871,0.0577,0.0188,0.1665,0.086,0.1012,0.1283,0.43,0.0494
112,0.0581,0.04,0.1077,0.056,0.0181,0.1489,0.2027,0.1634,0.1412,0.664,0.054
113,0.059,0.0424,0.1833,0.0637,0.0204,0.1795,0.237,0.1897,0.1266,0.663,0.0571
114,0.0461,0.0342,0.0627,0.0569,0.0186,0.1475,0.2277,0.1383,0.1151,0.6288,0.0463
115,0.032,0.029,0.0566,0.0513,0.0117,0.0471,0.0444,0.0623,0.0856,0.2953,0.0328
116,0.0201,0.0242,0.0457,0.053,0.0078,0.0339,0.0332,0.0433,0.0568,0.0609,0.024
117,0.0119,0.0242,0.0629,0.0425,0.0062,0.0287,0.0269,0.0321,0.0414,0.0528,0.0181
118,0.0043,0.0199,0.0603,0.0374,0.0025,0.022,0.0224,0.0116,0.0185,0.0472,0.0074
119,0.0027,0.0154,0.0417,0.0235,0.0023,0.0132,0.0144,0.0132,0.0197,0.0402,0.0059
120,0.0037,0.0055,0.0314,0.014,0.0019,0.0114,0.0133,0.0107,0.0201,0.0268,0.0052
121,0.0038,0.0041,0.0283,0.0101,0.0015,0.0084,0.0073,0.0066,0.0137,0.021,0.0031
122,0.0037,0.0039,0.0271,0.0075,0.0017,0.0082,0.0191,0.005,0.0104,0.0201,0.0028
123,0.0041,0.0087,0.0393,0.0084,0.0034,0.008,0.0147,0.0035,0.0089,0.0217,0.0055
124,0.0058,0.0244,0.0588,0.017,0.008,0.0087,0.0129,0.0044,0.0113,0.0206,0.0107
125,0.0524,0.072,0.0926,0.0485,0.0352,0.0116,0.0223,0.0096,0.0193,0.0239,0.0297
126,0.1277,0.0921,0.1104,0.0783,0.0764,0.0216,0.0468,0.0209,0.0333,0.0444,0.0465
127,0.3989,0.1374,0.1218,0.095,0.1422,0.0423,0.0806,0.0427,0.0523,0.057,0.0965
128,0.2704,0.3214,0.1341,0.0948,0.081,0.0533,0.0836,0.0509,0.0585,0.0491,0.2047
129,0.0607,0.1144,0.1324,0.0654,0.0776,0.0411,0.0696,0.0356,0.0572,0.0476,0.1011
130,0.0584,0.0428,0.0867,0.036,0.0385,0.0276,0.0557,0.0369,0.0564,0.0563,0.0425
131,0.0566,0.0531,0.0878,0.0781,0.0238,0.0445,0.0549,0.0416,0.0634,0.0678,0.0376
132,0.0545,0.0489,0.0812,0.0648,0.0205,0.0483,0.0568,0.0487,0.0662,0.0736,0.0304
133,0.0511,0.0531,0.0822,0.065,0.0186,0.0528,0.0587,0.0481,0.069,0.0818,0.0302
134,0.0542,0.0458,0.0854,0.0621,0.0182,0.0657,0.0741,0.0843,0.1006,0.126,0.0465
135,0.0582,0.041,0.1468,0.0653,0.0197,0.0981,0.1474,0.1252,0.135,0.5639,0.054
136,0.0552,0.0375,0.1823,0.0727,0.0186,0.1309,0.2073,0.1829,0.142,0.6674,0.0578
137,0.0554,0.0368,0.0882,0.0812,0.021,0.2508,0.2497,0.2119,0.1502,0.6727,0.0758
138,0.0436,0.0323,0.1959,0.0733,0.0195,0.2609,0.2156,0.1707,0.1373,0.6357,0.0505
139,0.0309,0.0272,0.1539,0.0675,0.0129,0.1416,0.0628,0.0659,0.1061,0.2458,0.048
140,0.0212,0.0235,0.047,0.0539,0.0073,0.0443,0.0344,0.0546,0.0604,0.0673,0.0279
141,0.0135,0.0188,0.0633,0.0462,0.0073,0.0355,0.0293,0.045,0.0505,0.0586,0.0211
142,0.0048,0.0151,0.0587,0.0333,0.0062,0.0235,0.0202,0.0342,0.0397,0.0519,0.0165
143,0.0038,0.0087,0.0436,0.0213,0.0031,0.0172,0.0165,0.0253,0.031,0.0408,0.0093
144,0.0038,0.0051,0.0328,0.0144,0.0018,0.0117,0.0155,0.0133,0.0212,0.0273,0.0059
145,0.0037,0.004,0.0276,0.009,0.0012,0.009,0.0079,0.0082,0.0138,0.0205,0.0098
146,0.0037,0.0047,0.0316,0.0061,0.0015,0.0084,0.018,0.0063,0.0111,0.0202,0.0026
147,0.0038,0.0086,0.0371,0.0081,0.0033,0.008,0.0077,0.0038,0.0089,0.0211,0.004
148,0.0114,0.0239,0.0533,0.0184,0.0082,0.0084,0.0123,0.0053,0.0122,0.0214,0.0107
149,0.0571,0.0705,0.0931,0.0463,0.034,0.0115,0.024,0.0115,0.0201,0.0254,0.0281
150,0.094,0.0905,0.1222,0.0778,0.079,0.021,0.047,0.0268,0.0315,0.0418,0.0455
151,0.4122,0.1275,0.1243,0.0952,0.141,0.041,0.0787,0.056,0.0523,0.0569,0.073
152,0.3764,0.0945,0.1379,0.0953,0.1828,0.054,0.0788,0.066,0.0614,0.0556,0.1892
153,0.112,0.082,0.1335,0.0837,0.1158,0.0426,0.066,0.0491,0.058,0.0504,0.0912
154,0.0536,0.0636,0.0954,0.069,0.0446,0.0381,0.0605,0.0481,0.0577,0.0557,0.0431
155,0.0569,0.0528,0.088,0.0593,0.0256,0.0428,0.0526,0.0552,0.0641,0.0674,0.0405
156,0.0539,0.0495,0.0804,0.0694,0.0204,0.0481,0.088,0.0636,0.0689,0.0736,0.0406
157,0.0503,0.05,0.0798,0.0603,0.0182,0.0488,0.0592,0.0772,0.0703,0.089,0.0396
158,0.0506,0.0455,0.0831,0.0588,0.0191,0.0669,0.0726,0.0774,0.089,0.1251,0.0433
159,0.0553,0.0427,0.1503,0.066,0.0189,0.1624,0.1895,0.1006,0.1301,0.5395,0.049
160,0.055,0.038,0.1765,0.0685,0.0181,0.215,0.2202,0.1786,0.1508,0.6447,0.0544
161,0.0577,0.0366,0.2081,0.0783,0.0203,0.2593,0.2417,0.1914,0.1569,0.6714,0.0766
162,0.0432,0.0,0.1438,0.0,0.0166,0.0068,0.2066,0.1699,0.1118,0.6297,0.0646
163,0.0322,0.0,0.0468,0.0,0.0146,0.0068,0.0506,0.0791,0.1012,0.3097,0.0464
164,0.0229,0.0,0.0381,0.0,0.0087,0.0068,0.0388,0.0548,0.0656,0.0669,0.0293
165,0.0088,0.0,0.041,0.0,0.0075,0.0068,0.0286,0.0486,0.0503,0.0573,0.0246
166,0.0043,0.0,0.0407,0.0,0.0082,0.0068,0.0222,0.039,0.0473,0.0518,0.0189
167,0.0038,0.0,0.0297,0.0,0.0035,0.0068,0.0148,0.0244,0.0311,0.0418,0.0336
168,0.0037,0.0,0.0228,0.0,0.0022,0.0068,0.0093,0.0138,0.0206,0.0293,0.0056
169,0.0038,0.0,0.0195,0.0,0.0017,0.0068,0.0082,0.0099,0.0151,0.0206,0.0036
170,0.0037,0.0,0.0205,0.0,0.0015,0.0068,0.0073,0.0066,0.0106,0.0206,0.0302
171,0.0037,0.0,0.0261,0.0,0.0036,0.0068,0.0122,0.0046,0.0102,0.0211,0.0042
172,0.0087,0.0,0.0321,0.0,0.008,0.0068,0.0118,0.0052,0.0113,0.0211,0.011
173,0.0529,0.0138,0.0772,0.0097,0.0328,0.0077,0.023,0.0125,0.0205,0.0276,0.0259
174,0.1087,0.0059,0.1136,0.0049,0.078,0.0072,0.0467,0.0276,0.032,0.0426,0.0412
175,0.3382,0.0052,0.1144,0.0044,0.1535,0.0094,0.0788,0.055,0.0509,0.0561,0.0717
176,0.0599,0.0817,0.1472,0.0787,0.1041,0.0417,0.0798,0.0624,0.0606,0.055,0.1772
177,0.0613,0.0626,0.1433,0.0545,0.07,0.0321,0.0708,0.051,0.0564,0.0518,0.0606
178,0.0608,0.0675,0.0992,0.0649,0.0404,0.0378,0.0561,0.051,0.0547,0.058,0.0438
179,0.0568,0.0367,0.0777,0.0486,0.0279,0.033,0.0578,0.0541,0.0633,0.0684,0.0439
180,0.0575,0.0503,0.0834,0.0681,0.0238,0.0513,0.0633,0.0565,0.0705,0.0781,0.0468
181,0.0562,0.0527,0.0838,0.07,0.0221,0.0546,0.0643,0.0676,0.0796,0.0825,0.0414
182,0.0559,0.05,0.1197,0.0657,0.0206,0.073,0.0708,0.0848,0.0998,0.1066,0.0471
183,0.0618,0.0414,0.1724,0.0698,0.0184,0.0902,0.1157,0.1201,0.1339,0.2862,0.0528
184,0.0631,0.0354,0.1678,0.0762,0.0196,0.1217,0.2055,0.1864,0.1515,0.5579,0.0595
185,0.0502,0.0358,0.2183,0.085,0.0167,0.2168,0.2296,0.2058,0.1331,0.6599,0.0521
186,0.0037,0.0318,0.1301,0.089,0.0,0.2511,0.209,0.0,0.0,0.6269,0.0
187,0.0037,0.0261,0.0539,0.0728,0.0,0.1081,0.0709,0.0,0.0,0.2337,0.0
188,0.0037,0.0235,0.0485,0.0617,0.0,0.048,0.0399,0.0,0.0,0.0656,0.0
189,0.0037,0.0203,0.0523,0.0516,0.0,0.0381,0.029,0.0,0.0,0.0577,0.0
190,0.0037,0.0207,0.0463,0.0376,0.0,0.0223,0.0241,0.0,0.0,0.0514,0.0
191,0.0037,0.0241,0.0339,0.0289,0.0,0.0117,0.0144,0.0,0.0,0.0409,0.0
192,0.0037,0.021,0.0261,0.0205,0.0,0.0069,0.009,0.0,0.0,0.0304,0.0
193,0.0037,0.0183,0.024,0.0167,0.0,0.003,0.0085,0.0,0.0,0.021,0.0
194,0.0037,0.0188,0.0224,0.0155,0.0,0.0023,0.0274,0.0,0.0,0.0212,0.0
195,0.0037,0.0203,0.0289,0.0167,0.0,0.0023,0.0068,0.0,0.0,0.0227,0.0
196,0.0037,0.0337,0.0441,0.0236,0.0,0.0038,0.0123,0.0,0.0,0.0193,0.0
197,0.0335,0.0555,0.0736,0.0398,0.0215,0.0095,0.0222,0.0071,0.0103,0.0265,0.0149
198,0.0779,0.0591,0.1138,0.0521,0.0642,0.014,0.0435,0.0267,0.0323,0.0451,0.0449
199,0.066,0.045,0.1125,0.0398,0.1246,0.024,0.0767,0.0523,0.0512,0.0565,0.1004
200,0.0602,0.0953,0.121,0.1025,0.0734,0.0536,0.0839,0.0621,0.0583,0.0571,0.1972
201,0.0595,0.0671,0.1215,0.061,0.0621,0.034,0.0648,0.0512,0.0572,0.0522,0.0672
202,0.0573,0.0405,0.0876,0.0473,0.0374,0.0299,0.0606,0.0546,0.0624,0.0645,0.0472
203,0.0578,0.056,0.0883,0.0757,0.0242,0.0471,0.0622,0.0633,0.0769,0.0756,0.0432
204,0.0566,0.0514,0.0861,0.0734,0.0212,0.0519,0.0632,0.075,0.0825,0.0824,0.0455
205,0.0584,0.0542,0.0996,0.0721,0.022,0.0585,0.0739,0.0776,0.0855,0.0856,0.0427
206,0.0385,0.0333,0.1682,0.0723,0.0131,0.0851,0.0774,0.0613,0.0645,0.1105,0.0341
207,0.0602,0.0432,0.2274,0.0766,0.0193,0.132,0.1794,0.1466,0.138,0.5977,0.0593
208,0.064,0.0399,0.2516,0.0782,0.0198,0.1316,0.2302,0.1838,0.1103,0.6501,0.0567
209,0.0557,0.0392,0.2383,0.0878,0.023,0.2922,0.2284,0.2039,0.1497,0.6697,0.0628
210,0.0475,0.0341,0.1311,0.0803,0.0203,0.2867,0.2051,0.1704,0.1508,0.6176,0.0546
211,0.0372,0.0301,0.0608,0.0717,0.0154,0.14,0.1004,0.073,0.1373,0.1633,0.0629
212,0.0265,0.0252,0.0545,0.0575,0.0112,0.0432,0.0435,0.0507,0.1,0.0651,0.0289
213,0.0148,0.0245,0.0714,0.0521,0.0086,0.0401,0.0342,0.0504,0.0604,0.0565,0.0254
214,0.0086,0.0192,0.0625,0.0443,0.0104,0.0313,0.0268,0.0436,0.0555,0.0577,0.0234
215,0.0038,0.0241,0.0503,0.0331,0.0055,0.0163,0.0194,0.0378,0.0436,0.0485,0.0162
216,0.0039,0.0202,0.0402,0.0227,0.0032,0.0103,0.0125,0.0287,0.0316,0.0342,0.01
217,0.0039,0.0188,0.0327,0.0168,0.0019,0.0067,0.0097,0.0184,0.0217,0.0249,0.0083
218,0.004,0.0182,0.0334,0.0128,0.0016,0.0042,0.0073,0.0149,0.0176,0.022,0.0052
219,0.0037,0.0182,0.0297,0.0122,0.0024,0.003,0.0136,0.0081,0.0128,0.0231,0.004
220,0.0043,0.022,0.0226,0.016,0.0063,0.0032,0.0086,0.0062,0.0109,0.0217,0.0056
221,0.0054,0.032,0.0375,0.0261,0.0103,0.0053,0.0114,0.0071,0.0144,0.0192,0.0148
222,0.0132,0.0366,0.0468,0.0349,0.0164,0.01,0.0196,0.0148,0.0233,0.0269,0.018
223,0.0267,0.0385,0.0589,0.0401,0.0186,0.0154,0.0298,0.0224,0.0335,0.0381,0.0241
224,0.0363,0.0531,0.0639,0.044,0.0217,0.0229,0.043,0.0339,0.0471,0.0469,0.0342
225,0.0423,0.0484,0.0807,0.0497,0.0236,0.031,0.052,0.044,0.0557,0.0565,0.0437
226,0.0478,0.0876,0.0862,0.0585,0.0221,0.0375,0.0597,0.0526,0.0627,0.0667,0.0436
227,0.0535,0.047,0.1202,0.0604,0.0218,0.0429,0.0609,0.0602,0.0661,0.0717,0.043
228,0.0517,0.0477,0.1982,0.0625,0.021,0.0463,0.0628,0.0706,0.077,0.0757,0.0482
229,0.0562,0.0472,0.1428,0.0539,0.0224,0.0507,0.0598,0.0757,0.0767,0.0873,0.0464
230,0.0519,0.0469,0.1432,0.0567,0.0225,0.0528,0.0615,0.0744,0.0782,0.0815,0.0472
231,0.0527,0.0453,0.1671,0.0556,0.0223,0.0541,0.0625,0.0726,0.0813,0.076,0.0444
232,0.0516,0.0481,0.1988,0.0518,0.0228,0.0405,0.0658,0.0785,0.0791,0.073,0.0513
233,0.0513,0.0475,0.1926,0.0494,0.0238,0.039,0.0647,0.0822,0.0838,0.0719,0.0472
234,0.0411,0.0399,0.1783,0.0498,0.023,0.035,0.0538,0.0751,0.0779,0.066,0.0429
235,0.0282,0.0379,0.2521,0.0443,0.015,0.0361,0.0371,0.0649,0.0688,0.0569,0.0367
236,0.0142,0.0321,0.0565,0.0388,0.0121,0.0309,0.0327,0.0538,0.0528,0.0505,0.0275
237,0.0229,0.0332,0.0527,0.0443,0.0109,0.0276,0.0311,0.0497,0.0553,0.0511,0.027
238,0.0152,0.0318,0.0437,0.0399,0.0111,0.0273,0.0313,0.0471,0.0485,0.0485,0.0247
239,0.0043,0.0244,0.0345,0.0294,0.0066,0.0198,0.021,0.038,0.0397,0.0398,0.0229
240,0.0041,0.0208,0.0235,0.0207,0.0036,0.0109,0.0126,0.0256,0.0271,0.0291,0.0127
241,0.0039,0.0191,0.0187,0.0147,0.0028,0.007,0.0092,0.0176,0.0189,0.0247,0.0144
242,0.0037,0.0182,0.014,0.0122,0.0018,0.0041,0.0075,0.0164,0.017,0.022,0.0051
243,0.0038,0.0169,0.0122,0.0114,0.0014,0.0028,0.0056,0.0091,0.0112,0.0235,0.0088
244,0.0039,0.0197,0.0156,0.0146,0.0022,0.0023,0.0055,0.0063,0.0083,0.0233,0.0051
245,0.0038,0.0242,0.023,0.0204,0.0061,0.0025,0.0081,0.0056,0.0091,0.0202,0.0077
246,0.004,0.0253,0.0343,0.0258,0.0086,0.0039,0.0123,0.0104,0.0135,0.0219,0.014
247,0.011,0.0281,0.036,0.0285,0.0083,0.0057,0.015,0.014,0.021,0.0282,0.0152
248,0.0253,0.0331,0.0486,0.0346,0.0113,0.0084,0.0241,0.0241,0.0259,0.0364,0.0254
249,0.0371,0.0414,0.0633,0.0412,0.0153,0.0123,0.0356,0.0365,0.039,0.0443,0.0367
250,0.0416,0.0398,0.0754,0.0494,0.0196,0.0172,0.0407,0.0489,0.0489,0.0577,0.0431
251,0.0447,0.0378,0.0885,0.0453,0.0188,0.0211,0.0475,0.0535,0.0542,0.0572,0.0417
